t_end,P_max,sin2,A,baseline_B0,kappa
5,2e-06,6.249999869791668e-08,32.00000066666667,0.0001,1.0
10,9.7e-06,2.4999997916666736e-07,38.8000032333335,0.0001,1.0
15,3.7e-05,5.62499894531258e-07,65.7777901111125,0.0001,1.0
20,0.000123,9.99999666666711e-07,123.00004100000821,0.0001,1.0
25,0.000397,1.562499186198086e-06,254.08013233337473,0.0001,1.0
