xi,delta1,alpha2,alpha3,kappa,B0,alpha1,grid_shape,t_end,dt,scheme,bc,error,run_status,error_message,solver_exit_code,P_max,P_max_time,P_final,wall_time_s
4.522558674329138,-0.01137474405937039,-2.826868313483943,3.6698616344109376,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -2.402 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -2.402 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
1.6864926498787716,0.20594588511995493,-2.007150729474634,4.510016311557753,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -10.4 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -10.4 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is pos,-1,,,,
0.9307201287263098,0.4585910337075586,-1.8454929426812092,4.286638930565589,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -17.76 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -17.76 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
7.6558858986746365,-0.38899323419996484,-1.4367735658403054,0.20814872490766576,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.08183 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.08183 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is ,-1,,,,
1.7765296877566352,0.29040124323671745,-4.8600401476831365,1.662410781337079,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.708e+00 predicts growth factor 1.13e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.708e+00 predicts growth factor 1.13e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
0.6929268896318003,0.1965676325126413,-3.5542663991550194,4.816624926017692,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -23.51 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -23.51 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
6.737062443153902,0.2690304367770112,-4.661263730065699,3.414623331996927,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.8409 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.8409 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is p,-1,,,,
0.2732281804133644,-0.3072953971525392,-1.7102396328169105,0.966798332055032,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.291 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.291 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
6.8272951829712145,-0.07309368275234113,-3.9414346785323713,0.3383674583907732,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.686e+00 predicts growth factor 1.01e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.686e+00 predicts growth factor 1.01e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
5.653665372478016,-0.44849780664096994,-2.559275077342984,3.4932960668889184,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.829 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.829 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
5.777583226672038,-0.1610004180874013,-3.430179512683181,0.19936972972254213,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.716e+00 predicts growth factor 1.17e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.716e+00 predicts growth factor 1.17e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
5.32507951396765,-0.04092438011103977,-0.5338497319808138,4.4741241003138965,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -3.808 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -3.808 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
4.31481694147002,-0.10928876893596756,-1.4987013061285892,4.176175107183341,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -3.838 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -3.838 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
1.434487977008162,0.3796771688463709,-3.52461783511992,2.7875035774975236,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -2.911 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -2.911 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
4.537126719183874,-0.11023440008432212,-3.907961447742304,1.1118484362381942,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.740e+00 predicts growth factor 1.33e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.740e+00 predicts growth factor 1.33e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
6.002571364721313,0.3227849252141032,-2.8777875558928034,1.8355338580703042,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.709e+00 predicts growth factor 1.13e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.709e+00 predicts growth factor 1.13e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
5.047326755168763,0.4888139033426838,-3.2472617693774017,4.495137718482241,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -2.967 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -2.967 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
4.965872084134475,-0.02588762881280604,-0.8780227069788245,1.7388582758775435,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.6398 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.6398 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is p,-1,,,,
1.0025678779874727,-0.08530228411682789,-1.6399569783665298,0.8843651401617975,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.2195 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.2195 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is p,-1,,,,
1.6212410741999452,0.4273887483529272,-0.9450685646289516,2.062213406873038,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -3.074 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -3.074 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
4.05065314392383,-0.2970369791048093,-4.723260076739292,2.1844392420244065,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.733e+00 predicts growth factor 1.28e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.733e+00 predicts growth factor 1.28e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
6.227308432170163,-0.22539301051176308,-4.647480935029576,2.502838930703182,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.03566 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.03566 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is ,-1,,,,
3.0060424655437945,0.14688747417078885,-0.725151139232354,0.06172928016838893,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.6819 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.6819 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is p,-1,,,,
0.17544284505034463,-0.34659217837094963,-3.218640734787798,1.5758446497566663,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.735e+00 predicts growth factor 1.29e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.735e+00 predicts growth factor 1.29e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
4.327159950861369,0.4772074582909581,-3.767322964834079,2.0878961827692035,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.698e+00 predicts growth factor 1.07e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.698e+00 predicts growth factor 1.07e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
9.812088258350228,-0.4418297048208202,-3.6029505092642093,2.9054882465212595,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.4818 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -0.4818 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is p,-1,,,,
3.2867229294286986,-0.17574838110646318,-4.260367527614525,1.4539302938670151,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.731e+00 predicts growth factor 1.26e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.731e+00 predicts growth factor 1.26e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
