delta1,zeta2,max_excess,stable
-0.0200,-0.04216965,6.9111,0
-0.0200,-0.021084825,0.00506933,1
-0.0200,0,9.79143,0
-0.0200,0.021084825,4.57537e-06,1
-0.0200,0.04216965,inf,0
-0.0050,-0.04216965,4.19164e-06,1
-0.0050,-0.021084825,0,1
-0.0050,0,0,1
-0.0050,0.021084825,0,1
-0.0050,0.04216965,1.03112e-06,1
0.0000,-0.04216965,1.23704e-06,1
0.0000,-0.021084825,1.23939e-06,1
0.0000,0,0.100765,1
0.0000,0.021084825,1.23939e-06,1
0.0000,0.04216965,1.23704e-06,1
0.0050,-0.04216965,1.03112e-06,1
0.0050,-0.021084825,0,1
0.0050,0,0,1
0.0050,0.021084825,0,1
0.0050,0.04216965,4.19164e-06,1
0.0200,-0.04216965,inf,0
0.0200,-0.021084825,4.57537e-06,1
0.0200,0,9.79143,0
0.0200,0.021084825,0.00506933,1
0.0200,0.04216965,6.9111,0
