sample,beta1,beta2,beta3,xi,delta1,chi,zeta1,zeta2,zeta3,beta_constraint_pass,max_excess,probe_pass
475,0.727664,-1.16768,-0.155475,0.380352,0.00146724,-0.00139743,-0.0429398,-0.0144958,-0.00884427,0,inf,0
476,-0.257257,-0.824295,0.515365,0.328734,0.0239362,-0.00301756,-0.037565,0.0167255,0.0374832,1,0.101008,1
477,-1.00094,-1.56041,0.287929,5.76605,0.002617,0.00400464,0.0452252,-0.00441017,-0.0221493,1,0.253046,1
478,0.342193,-2.7906,0.0674166,1.80366,0.0245809,0.00876342,0.0243072,0.00585108,0.019202,1,0.120396,1
479,-0.838225,-1.39183,-0.683451,0.507123,-0.00927312,-0.00410861,-0.018105,0.017305,-0.0103429,1,1.84931,0
480,-0.846883,-2.70231,-0.276607,0.464503,0.0185127,-0.00891055,0.00341991,-0.00816168,0.0445378,1,2.86856,0
481,-0.559377,-0.974402,-0.945195,0.0129833,-0.00550035,0.00824073,-0.0385057,-0.0165119,0.0411531,1,6.94346,0
482,0.58041,-1.10874,0.538396,0.0688507,0.0148333,0.00811507,0.0015571,-0.00982918,-0.0185451,1,1.49968,0
483,-0.437939,-1.56638,0.536338,0.18391,-0.0247933,0.00161834,0.0445486,0.00914806,-0.0280699,1,2.35587,0
484,0.918723,-1.14145,0.312509,0.0143179,0.0058349,0.00136841,0.0388593,0.00404955,0.0399548,0,inf,0
485,0.147513,-1.32977,-0.114764,0.579992,-0.0189822,-0.00488946,-0.0428143,0.000582344,0.0256908,1,0.100988,1
486,0.904489,-0.73551,0.558493,0.0294578,0.00672612,-0.00163269,-0.0487305,-0.0151401,-0.0250253,0,inf,0
487,0.288429,-2.03422,0.146908,4.51024,-0.0222123,-0.00365741,-0.0148727,0.0100138,-0.025714,1,0.100989,1
488,-0.0486342,-1.43916,0.314638,2.2567,-0.00757971,0.00575769,-0.0390093,0.00165906,-0.00591422,1,0.101024,1
489,-1.16978,-2.4589,0.846556,0.771679,-0.00373948,-0.00562865,-0.0147685,-0.0153261,-0.0394954,1,2.37545,0
490,0.456922,-0.937621,0.880576,0.156858,0.00879642,0.000892648,-0.000237041,-0.00631998,-0.0255704,0,inf,0
491,0.83289,-1.69598,-0.270465,1.22113,0.0233127,-0.00864445,-0.0104569,0.0127791,0.0450665,1,0.101008,1
492,0.677873,-2.96032,-0.978683,0.0564178,0.00197421,-0.0018787,0.0208044,0.00523885,0.0301092,1,0.131191,1
493,-0.942626,-1.69763,-0.00155875,1.00067,0.00659867,0.000673289,0.00910209,-0.00817399,-0.0354404,1,1.47172,0
494,-1.3032,-2.75861,-0.374691,0.0910297,0.00777629,-0.00264407,-0.00541341,0.0179282,0.0426404,1,8.54193,0
495,0.457721,-0.514162,0.407912,0.962629,0.00593169,-0.00568353,-0.045431,0.000473791,-0.0430059,0,inf,0
496,0.805956,-1.01816,-0.711653,0.0257254,0.0237729,0.00888082,0.0285613,-0.00124075,0.0463317,0,inf,0
497,-0.652072,-1.65493,0.857876,0.0167339,0.0249345,0.00393553,-0.0234351,0.00840974,0.034091,1,11.4935,0
498,-1.34111,-1.00656,0.531105,0.0742282,-0.0210326,0.000143405,-0.0183202,0.0105081,0.0199406,0,inf,0
499,-0.584075,-0.92249,0.837288,1.12475,0.00997303,0.0085864,-0.000795798,0.00444602,-0.0211487,1,0.634822,0
500,-0.587696,-0.754744,0.297629,0.0151215,0.00234311,-0.00180541,-0.0362386,0.000836052,-0.00146798,0,inf,0
501,-0.865751,-1.21435,-0.891331,0.0171685,0.0140108,-0.00825759,-0.0357207,0.0177277,-0.027718,1,11.4245,0
502,-0.455934,-0.642204,0.00546194,0.506984,-0.0122815,-0.00888204,-0.0162767,-0.00327485,-0.00552767,0,inf,0
503,-1.04412,-0.801135,0.501755,0.0158475,-0.0177732,0.0079057,-0.0314734,-0.0171443,0.0239262,0,inf,0
504,-0.891062,-1.288,0.720292,0.0110417,-0.0170153,-0.0019286,-0.0010055,0.0143503,0.046287,1,15.1884,0
505,0.232267,-1.38656,-0.656209,3.7474,-0.014236,0.00027672,0.0111097,-0.00271561,-0.0286678,1,0.100789,1
506,0.682205,-1.70943,0.119857,0.483956,-0.00521243,-0.00857388,-0.0142803,0.0201245,-0.0074733,1,0.101005,1
507,-1.45532,-2.17294,0.223814,0.782163,-0.023118,-0.00488234,0.0371112,0.00887891,0.0297219,1,2.50016,0
508,-0.00884679,-1.78297,-0.960612,0.540297,-0.0244353,-0.00733738,0.00151893,-0.00165128,-0.00100967,1,inf,0
509,0.356949,-0.834432,0.680868,0.0101022,-0.0118765,0.00720477,0.0267361,-0.0138109,-0.0209418,0,inf,0
510,-1.25051,-2.1386,-0.53283,0.105455,0.00136944,-0.000803951,0.0432904,0.00133224,0.0193854,1,7.00328,0
511,0.342743,-0.41454,0.911692,9.72411,0.0114922,-0.00226566,0.0119288,0.0147533,-0.0304994,0,inf,0
512,-0.0165408,-0.700918,0.705132,0.0479111,-0.0170852,-0.00139522,-0.00806114,0.0167133,0.0369177,1,2.05068,0
513,-0.61759,-2.29644,0.0454402,1.95057,-0.0122497,0.00454873,0.0149279,-0.00701747,-0.0223517,1,0.797448,0
514,-0.158577,-2.97692,-0.60346,5.4747,0.0120908,0.00138526,-0.0207739,-0.0122829,0.032289,1,0.176143,1
515,-0.238657,-1.49435,0.181591,0.0600968,0.0183603,-0.00802022,-0.0198499,0.0187501,0.0493708,1,3.07207,0
516,0.641149,-2.49012,0.76975,0.0334062,0.0178817,6.78119e-05,-0.0169538,0.0113529,0.0354014,1,0.404619,0
517,-0.9544,-2.29619,0.715738,0.0390481,6.7069e-05,-0.00596311,0.00392613,-0.0107148,-0.0460518,1,10.8637,0
518,-0.22887,-2.41055,0.308435,0.359841,0.00829559,0.00355388,-0.0254292,-0.0168403,-0.0246436,1,2.10113,0
519,0.720416,-1.79876,0.447414,3.56784,-0.0183348,0.00648794,0.0306747,0.0059193,0.0434466,1,0.100988,1
520,-0.457076,-0.591903,-0.918742,4.0532,-0.0228972,-0.00557306,-0.0434128,-0.00101765,-0.00175243,0,inf,0
521,-0.0907804,-2.04006,0.0888139,0.0105387,-0.00203323,0.00163745,-0.00327079,-0.00717592,0.0477466,1,9.16444,0
522,-0.3114,-2.25854,-0.132586,0.150777,0.0144367,0.000822178,-0.049227,-0.00977702,0.00839133,1,3.49177,0
523,-0.846609,-2.27674,-0.351326,5.45683,-0.00601652,0.00459923,0.0479725,0.0125974,-0.0244094,1,0.309352,0
524,-0.0832712,-1.71565,-0.568918,0.326802,0.0144318,0.00108049,-0.0120339,0.0205263,0.0427625,1,inf,0
525,0.313724,-2.92171,-0.855665,1.84352,0.00846221,-0.00093736,0.0367123,-0.0170232,-0.019351,1,0.31931,0
526,0.743636,-1.93784,-0.269587,0.0267154,-0.0240154,-0.00107791,0.0311093,-0.00257922,0.0083353,1,1.08686,0
527,0.207847,-0.311667,-0.656407,0.0260057,0.00381338,-0.00603368,0.0458868,-0.00461696,-0.0262755,0,inf,0
528,-0.645793,-0.351825,0.94065,0.0622614,0.0148499,-0.00231145,-0.0217842,0.0173243,-0.0087973,0,inf,0
529,-1.47493,-1.88795,-0.919652,0.013059,0.0184989,-0.00194427,0.00461142,0.000177533,-0.0371976,1,inf,0
530,-0.736156,-0.315895,-0.281312,8.26535,-0.0239798,0.00733045,-0.0428497,-0.00416924,-0.006093,0,inf,0
531,-1.46299,-2.71564,-0.482992,0.0145597,-0.00584101,-0.00745878,-0.0328371,0.0156915,0.0243412,1,inf,0
532,-1.46841,-2.04865,0.958949,0.0264804,0.0160395,0.00459883,-0.0427458,0.0079516,-0.0258678,1,15.2335,0
533,-1.47152,-1.65737,0.915485,0.244129,-0.0119251,-0.00646078,-0.0214596,-0.0121311,0.032601,0,inf,0
534,-0.544921,-1.52566,-0.358616,0.0949292,0.00215228,0.00205726,-0.0162727,0.0198529,-0.0413015,1,3.82178,0
535,-0.475975,-2.98732,-0.697741,1.07209,-0.020039,0.00734028,0.0342432,0.00649279,0.0468487,1,1.59413,0
536,-0.575361,-0.621174,0.768399,0.0192281,0.0181907,0.00833222,0.0200924,-0.00253091,-0.0174629,0,inf,0
537,0.578564,-1.39675,0.774255,0.0136972,0.0068743,-0.0026011,0.0133501,-0.0117887,-0.0104521,1,1.58594,0
538,-0.150272,-2.34678,0.459089,2.91418,0.0109512,0.00876416,-0.0283919,0.00474527,0.0185268,1,0.190481,1
539,-0.689692,-1.15316,0.335436,3.28573,-0.0152377,-0.00301322,-0.00759068,-0.000395773,0.0478232,1,0.220802,1
540,-0.783841,-0.994309,-0.126688,7.15078,0.0141047,-0.0063948,0.0421379,-0.000474031,-0.0196704,0,inf,0
541,0.00894695,-1.21634,0.572431,0.0217402,-0.00402665,-0.00582502,4.77258e-05,-0.0172521,-0.0487518,1,2.69519,0
542,-0.348049,-2.77902,-0.577555,0.166067,0.00156165,0.00718982,0.0233118,0.0108247,0.0382148,1,4.17896,0
543,0.788691,-2.23284,0.649349,0.936034,-0.00418969,0.00881439,-0.0197312,0.0150246,-0.0494792,1,0.100827,1
544,0.632796,-1.7686,0.621721,0.130825,0.00202054,0.00824831,-0.0308092,-0.019976,-0.013154,1,0.380101,0
545,-0.589507,-1.59489,-0.757505,0.283287,0.0212652,0.00842574,0.0185381,0.011939,0.0235064,1,2.17786,0
546,-0.44459,-0.914211,-0.387369,8.44867,-0.0158026,0.00524877,0.000912546,0.0148994,-0.0191968,1,inf,0
547,0.533068,-1.16818,-0.421998,4.78129,-0.0168895,3.13096e-05,-0.0151631,0.00766239,-0.0420993,1,0.100783,1
548,0.169036,-0.391605,0.88018,1.65622,-0.00752146,0.00414055,0.0393719,0.0111782,-0.0475949,0,inf,0
549,-0.513981,-1.8839,-0.171971,0.0259582,-0.00513168,0.00446553,-0.0403798,0.0162134,-0.00463358,1,9.11887,0
550,-0.450324,-2.45726,0.243729,0.0147781,0.00895773,-0.00741284,-0.0381427,0.00839177,0.0203601,1,14.3494,0
551,-0.353268,-2.68547,-0.44241,1.02632,0.0213578,-0.00222635,0.0405556,2.84312e-05,0.0190574,1,1.29676,0
552,0.833266,-0.949004,0.674965,0.108758,-0.0231198,0.00331034,-0.00843671,0.00161215,0.0319153,0,inf,0
553,-1.41046,-2.44482,-0.181031,0.704066,0.000859645,-0.00510419,0.00352766,0.00779573,0.0422881,1,2.72341,0
554,0.669023,-0.48481,0.549832,0.0304731,0.00740319,0.00766425,-0.0386157,-0.0055121,0.0356427,0,inf,0
555,0.771639,-2.36351,0.124408,1.23985,-0.00331643,-0.00864318,0.0479214,0.00126826,-0.00814722,1,0.100767,1
556,0.913419,-2.25916,-0.955326,0.0179867,-0.00808715,0.00503465,0.0145667,-0.0172691,0.0279778,1,0.100747,1
557,-0.564244,-2.82561,0.901967,0.303257,-0.00641982,-0.00257342,-0.0402537,0.0174134,0.0161004,1,3.41721,0
558,-0.474983,-1.02165,-0.428631,0.0792184,0.0227315,-0.000234131,0.0163644,-0.0129251,0.0262292,1,2.02034,0
559,-0.234581,-1.21849,-0.662257,4.69566,-0.00118262,-0.00149239,-0.0199828,-0.0200218,-0.00249603,1,0.100985,1
560,-0.523318,-2.61843,-0.821433,0.0129827,0.0148578,-0.00859128,-0.00832862,-0.00421797,-0.0442255,1,16.8395,0
561,0.636384,-2.32471,0.540817,4.41729,0.0145267,0.00688891,-0.0421154,-0.0137947,0.0379918,1,0.101035,1
562,0.331672,-1.50833,-0.796012,0.160957,0.00484143,-0.00871105,-0.0480124,-0.000257756,0.0194377,1,0.100828,1
563,-0.381101,-1.04111,0.82568,3.77264,-0.00326136,-0.00721032,-0.0268596,-0.0128648,0.0446215,1,2.11723,0
564,-1.07306,-0.428027,-0.688124,0.0403675,-0.00200419,-0.0058121,-0.0475965,0.0128242,-0.0108341,0,inf,0
565,-0.810128,-0.565887,-0.998225,0.0684262,-0.00920628,-0.00482674,-0.0238226,0.00567869,0.0257944,0,inf,0
566,-0.21297,-2.10609,-0.520155,0.621609,0.00164869,-0.00185836,0.031913,-0.00379955,-0.0469251,1,1.16415,0
567,0.0530261,-1.66186,-0.666784,0.051845,0.0169879,0.0015323,-0.03164,0.0098048,-0.0211511,1,0.186838,1
568,0.878661,-0.605159,-0.254417,0.433222,0.01452,0.00140984,0.0484382,0.0115673,0.0165593,0,inf,0
569,-0.104136,-2.42863,0.509272,0.0242053,-0.00119184,0.00450526,-0.0104062,-0.0117155,0.00830785,1,8.17366,0
570,0.107645,-0.745341,-0.1095,0.0308581,-0.0153554,0.00520758,-0.0324512,0.0160628,0.0491678,1,2.61794,0
571,0.655164,-1.69792,0.863,0.0998755,-0.0241631,-0.000155881,-0.0425302,0.0141482,0.0364822,1,1.46009,0
572,-0.752936,-2.03245,0.766709,0.0614909,-0.00120416,-0.00213405,0.0119984,-0.0172566,0.000807959,1,7.26092,0
573,0.665367,-2.32826,-0.956408,8.6728,0.0154787,-0.00517074,0.0367823,7.4449e-05,0.0151521,1,0.10097,1
574,-1.44226,-0.685723,0.259595,0.185398,0.00869717,0.00374132,0.00944265,-0.00815104,-0.00789024,0,inf,0
575,0.0425285,-1.60534,0.578445,6.1211,-0.00769414,-0.000825247,0.0210056,-0.00850673,0.0102331,1,0.100994,1
576,-0.898658,-0.944005,-0.435757,0.166259,-0.00106171,-0.00857938,-0.0047716,0.00105596,9.03e-05,0,inf,0
577,-0.707232,-1.0712,-0.872675,0.0138951,0.000418725,0.00100975,-0.00687279,0.000690488,0.0158791,1,9.95204,0
578,0.926454,-1.04225,0.149725,5.69004,-7.52009e-05,-0.00853555,-0.0268172,-0.0177988,-0.0342897,0,inf,0
579,0.652923,-2.4029,-0.874867,0.0792683,0.0228317,0.00825496,-0.0116768,0.00829511,-0.0110697,1,0.306987,0
580,-0.979632,-0.585121,0.600839,0.141801,0.0247134,-0.0018325,0.0142206,-0.0135047,-0.00933364,0,inf,0
581,-0.538698,-1.36827,0.101954,0.0216135,-0.00989091,0.00222515,-0.0431399,0.000199198,0.0405159,1,7.72366,0
582,-0.751536,-1.89059,-0.709236,1.13584,0.0176706,-0.0062163,0.00980645,-0.00725196,-0.0493893,1,1.27389,0
583,-0.846665,-0.541077,-0.195066,3.99087,0.000600768,0.00323909,0.0298951,-0.0102754,0.0143592,0,inf,0
584,-0.83915,-0.893428,0.351459,2.41505,0.00202698,0.00470493,-0.0229731,-0.0153241,-0.00936413,0,inf,0
585,0.471261,-1.10433,-0.797192,0.852705,0.0172376,-0.00166227,0.00696134,-0.0139831,0.00179847,1,0.100995,1
586,0.425443,-0.41105,-0.79765,2.94927,-0.0185279,-0.00487697,0.0326994,-0.0175729,-0.0165504,0,inf,0
587,0.377392,-1.47625,0.710488,0.415118,0.00584376,-0.00584418,0.0489318,0.0035066,-0.0190113,1,0.101042,1
588,-0.240598,-0.675537,0.149617,0.01714,-0.00948252,-0.00778044,-0.0284616,-0.00330262,0.025303,1,2.34968,0
589,-0.214508,-2.07769,0.536733,0.012503,-0.0127548,0.00494761,0.0264076,0.00497801,-0.0115297,1,10.6571,0
590,-0.0846692,-1.11581,-0.499851,0.4307,-0.0247537,-0.000853053,0.0360552,0.0207744,-0.0367944,1,0.100988,1
591,-1.12705,-1.59042,-0.161368,0.227307,0.00851583,0.0022701,0.0304064,0.0149184,0.000280986,1,3.84073,0
592,0.498457,-2.05793,0.307276,5.79304,-0.0147941,-0.00280951,-0.048065,0.0180536,0.0396791,1,0.100985,1
593,0.599156,-0.445587,0.312485,0.0134446,0.0168088,-0.00649327,-0.0164337,0.0167127,1.7905e-05,0,inf,0
594,-0.763176,-1.10504,0.0619689,0.0458264,-0.0226459,-0.000155583,0.0178264,-0.00395685,-0.0230796,1,5.82956,0
595,-0.421728,-0.727774,0.808242,2.93802,0.0103577,-0.00881894,-0.0416359,0.00443742,-0.0236115,1,0.10099,1
596,0.600777,-1.50721,0.124702,1.86874,-0.0140282,0.00832457,-0.010727,-0.0104619,0.0290726,1,0.101006,1
597,-0.708037,-0.996961,-0.532088,0.318221,0.0154446,-0.00449337,0.0387956,0.00285504,0.0346982,1,1.56105,0
598,0.327216,-1.19934,-0.484975,0.0302184,0.000767839,-0.00159388,-0.0137095,-0.00945047,-0.0198344,1,1.01382,0
599,0.0820718,-1.26203,-0.62686,0.0360568,0.0183173,-0.00523613,-0.00144916,-0.00957134,-0.00868669,1,1.5962,0
600,-0.762763,-0.621416,0.456406,3.14488,-0.0037034,0.00050535,-0.0426194,-0.00359671,-0.0442059,0,inf,0
601,0.927248,-2.42646,-0.0685424,0.286906,-0.0183903,-0.00196847,0.0201005,0.0182346,0.0416309,1,0.278879,1
602,-1.25703,-2.07245,-0.63171,4.90313,-0.0229203,0.00469066,-0.0221986,-0.00205314,0.0328443,1,0.57164,0
603,0.165523,-1.6781,-0.967365,0.0138411,0.00557522,-0.00457488,-0.0243985,0.0183688,-0.00368421,1,1.03479,0
604,-0.107458,-2.87498,-0.475802,0.930992,0.00233951,0.00227665,0.00331342,0.00633001,0.0070777,1,1.18773,0
605,-1.33928,-2.72045,-0.118553,0.0248668,-0.00986973,0.00707266,0.000739638,-0.0125378,0.0491257,1,16.7249,0
606,0.0436801,-0.679768,0.313194,0.0302403,0.00735905,-0.00854857,0.029798,0.0112892,-0.00655394,1,2.22616,0
607,-0.819985,-1.78379,-0.516311,2.95192,-0.0121967,-0.00384894,-0.00671727,0.00623781,0.0493497,1,0.593468,0
608,0.285514,-2.71941,0.00887221,0.0545365,-0.00408517,0.00363284,-0.0425144,0.0110268,-0.00730837,1,3.4598,0
609,0.300192,-1.69012,-0.886539,1.41664,-0.020765,-0.00479847,0.00421614,0.0179186,0.00513873,1,0.100986,1
610,-0.291345,-1.15308,-0.0401522,0.0807254,-0.0135227,0.0046605,0.0357031,-0.0084502,0.0400661,1,0.336023,0
611,0.671809,-2.67836,-0.788304,0.0346108,0.0193732,-0.00704748,-0.0142155,-0.0019194,0.0279137,1,0.222223,1
612,0.514693,-0.371072,0.183076,0.0286546,-0.0125949,0.0019302,-0.0376334,-0.0142266,-0.048697,0,inf,0
613,-1.15008,-0.985843,-0.817476,4.65236,0.00378334,0.00218863,-0.0234068,0.0104824,0.0028313,0,inf,0
614,-0.0713412,-0.470942,-0.70063,0.441018,0.00755873,0.00687296,-0.0417635,0.00391258,-0.0100087,1,0.100955,1
615,-0.240908,-2.9288,-0.386794,0.0739831,-0.020065,-0.00861296,0.00129479,0.0043883,0.0230818,1,6.34976,0
616,0.414454,-0.630355,0.350842,6.43599,-0.00412735,0.00750735,-0.0186473,0.0111422,-0.0117919,0,inf,0
617,-0.458749,-2.61472,0.363083,0.136765,-0.00568601,0.00125109,-0.0467715,-0.0192758,0.0312977,1,4.62056,0
618,-0.451883,-2.28822,0.280451,0.0194922,-0.012752,-0.00890626,-0.0042945,0.014237,-0.0273937,1,11.789,0
619,0.453613,-1.30503,0.893694,0.133572,0.0142461,0.00637627,-0.0364873,0.0162665,0.0307096,1,0.209823,1
620,-0.272057,-2.57593,-0.0669714,0.0819745,0.014009,-0.00166741,0.0166736,-0.0153087,0.0267366,1,5.41249,0
621,0.980361,-0.385307,-0.0687022,0.0361428,0.00821749,-0.00282074,0.0333344,0.00745136,-0.0470095,0,inf,0
622,-0.586908,-2.14532,-0.190056,0.691517,-0.0240427,-0.0081993,-0.01043,0.00148527,0.00982124,1,1.70151,0
623,0.968041,-0.501729,-0.823386,0.0405702,-0.00500834,-0.000608705,0.0168094,0.00659198,-0.0310452,0,inf,0
624,0.363857,-1.35066,0.219828,3.0453,0.00327319,0.00104346,-0.0496642,0.0175915,-0.0365302,1,0.100799,1
625,-0.815453,-0.380277,0.692864,0.0602594,0.00308073,0.00596167,0.0463237,0.020223,-0.0151625,0,inf,0
626,0.500551,-0.336742,-0.274928,0.215625,-0.0126141,0.00175663,-0.0258102,0.0161684,0.0283725,0,inf,0
627,0.77433,-0.886997,0.464595,0.0285868,0.000485854,0.00367561,0.0463454,0.0201341,-0.0465484,0,inf,0
628,-0.764434,-1.52484,-0.382552,6.28122,-0.0126246,0.00269507,0.0186909,0.0156076,-0.00475818,1,0.124887,1
629,0.462135,-1.32369,0.153285,0.670795,0.00711191,-0.00377221,-0.0409824,-0.0118983,0.035598,1,0.100768,1
630,-0.871037,-2.50887,-0.803516,5.44061,0.0194896,-0.00569975,0.0347152,-0.0208381,0.0346329,1,0.428501,0
631,-0.789135,-2.45312,0.43042,0.0886446,0.0218853,-0.00517101,0.0126168,0.00335843,-0.0148141,1,6.80502,0
632,0.293808,-0.892196,0.530824,0.0370174,0.00104389,0.00131855,0.00656297,-0.0188203,-0.0435469,1,1.82274,0
633,-1.01494,-1.08222,-0.0486091,1.40671,-0.00131636,-0.00210759,0.034478,0.00533712,-0.0325772,0,inf,0
634,0.969295,-2.99389,-0.835222,7.91,0.0115799,-0.00330571,0.0156061,-0.0130767,-0.0210275,1,0.100988,1
635,-0.589567,-0.897049,0.555367,0.225353,0.0196065,-0.00618451,0.0432382,-0.0185427,0.00892099,1,1.33179,0
636,0.881137,-2.52493,-0.124565,3.37024,-0.0200586,0.000820277,0.0416866,-0.0123911,-0.0177072,1,0.100768,1
637,0.699872,-2.09142,-0.129961,0.158538,-0.0234016,-0.00211765,0.036031,-0.0103288,-0.0423179,1,0.100997,1
638,0.557149,-0.386941,0.861563,0.388819,0.0181082,0.00272579,-0.0316064,0.00123007,-0.0161627,0,inf,0
639,0.997216,-2.17566,-0.364514,6.27363,-0.0162025,0.00755809,0.00340594,-0.016276,-0.0334597,1,0.101027,1
640,-0.957283,-2.40317,0.590768,4.44347,-0.0127996,0.00386088,-0.00295314,-0.0170705,-0.0137976,1,0.515907,0
641,0.111053,-0.322956,0.0249841,0.0202256,-0.016811,-0.00338271,-0.00605906,0.00911918,0.00605242,0,inf,0
642,0.14943,-2.04227,0.819197,4.456,-0.0163913,0.00683051,-0.00412583,0.00252945,-0.0195662,1,inf,0
643,0.188649,-2.31259,0.338651,0.136189,0.014946,0.00321342,-0.0431407,0.00774619,-0.0135512,1,1.26622,0
644,-0.990402,-2.54559,-0.0888498,0.0603353,0.0162243,-0.00660792,-0.0235629,-0.020203,0.025297,1,9.21973,0
645,-0.416743,-1.12604,-0.450351,0.165423,0.00086473,-0.00460094,-0.0125353,-0.00379753,-0.0384278,1,1.61387,0
646,-0.154007,-0.516524,0.306317,0.0166278,0.00929157,0.00857825,0.00837681,0.00948957,0.0101406,1,7.92,0
647,0.792284,-1.03498,0.105838,0.115384,-0.0185246,-0.00406599,0.0235419,0.0185327,0.0361207,0,inf,0
648,-1.1139,-1.85663,0.727334,8.4796,0.0154823,-0.00767893,0.0376312,0.0139352,-0.0450469,1,0.199289,1
649,-0.349179,-0.644834,-0.076285,0.590205,0.0176399,8.80491e-05,0.0427506,-0.00381219,0.0351607,1,0.100875,1
650,-0.358976,-2.07337,0.930432,0.015205,-0.0089234,0.00644914,-0.00457503,-0.00701436,-0.0223202,1,11.3278,0
651,0.806473,-2.16634,-0.710888,0.188953,0.00572373,-7.78436e-06,0.0189515,-0.0206397,0.0220199,1,0.101007,1
652,0.507587,-0.76533,0.771916,0.033012,-0.0102959,0.00297229,0.00193592,0.020187,0.0259685,0,inf,0
653,-1.26303,-2.40688,0.148382,0.021343,0.0227169,-0.00413591,-0.0203519,-0.00752777,0.0313244,1,16.8497,0
654,-1.10443,-1.44658,0.387592,0.228131,0.0222667,-0.00748581,0.00797608,-0.00908871,0.04435,1,3.64954,0
655,0.918037,-0.971757,-0.141231,0.0686413,-0.0236778,-0.00366302,-0.0382032,-0.0185298,-0.0218545,0,inf,0
656,-0.140069,-2.45342,0.00925163,2.28754,-0.0210349,0.000416312,-0.0445034,0.00866509,0.0378167,1,0.477924,0
657,0.07474,-1.09216,-0.499795,0.0155203,0.0018331,-0.00151432,0.00345063,-0.0148296,0.0479633,1,0.101316,1
658,-1.33775,-2.47336,-0.451878,0.0114634,0.0136393,-0.00138808,0.0467083,0.0204574,0.00627762,1,inf,0
659,-0.568208,-1.91097,0.5423,1.68878,-0.0156317,0.000310201,0.0479418,0.0135935,0.0350959,1,0.796126,0
660,-1.40654,-2.25437,0.651843,0.144844,0.00587388,0.00466004,-0.0463147,-0.00278383,0.029822,1,6.33008,0
661,-1.00785,-2.44431,0.445204,0.0372934,0.00978449,0.000630601,-0.0255491,0.0136593,-0.000887749,1,11.6562,0
662,-1.45062,-2.82049,-0.721881,0.0662109,-0.0172308,-0.00719925,0.028007,0.00289656,0.0424003,1,10.5893,0
663,-0.550446,-1.24019,0.0291098,0.0265643,0.00671546,0.00581519,0.0216527,-0.00471686,-0.0474138,1,6.36866,0
664,-0.450082,-0.482119,-0.0755052,0.238124,0.00108496,0.00766393,-0.0450986,0.0142012,0.000246511,0,inf,0
665,-0.68684,-2.39973,-0.184125,3.80797,0.0117331,-0.00103406,0.00738014,0.0194541,0.0141306,1,0.494517,0
666,0.622421,-1.46516,0.906368,0.0222575,0.00203599,-0.00789048,-0.0384492,0.00932461,0.00222137,1,2.90938,0
667,-0.292291,-1.78063,0.764924,0.184869,0.0221762,-0.00734686,0.00834977,0.0044136,-0.0480105,1,2.21602,0
668,0.912372,-1.30126,0.785616,9.51032,-0.0048051,0.00727893,0.00709782,-1.6215e-06,0.0277441,0,inf,0
669,0.763333,-1.10875,-0.377688,0.0799867,-0.00289011,-0.00414449,-0.000828656,-0.00359413,-0.00932055,0,inf,0
670,0.185663,-2.07744,0.596782,6.7189,-0.000203569,-0.00151821,0.00292818,0.00683198,-0.0137651,1,0.100766,1
671,-1.27956,-1.35421,-0.531652,0.081546,-0.00511012,0.00772563,-0.0355452,-0.0101425,-0.0160768,0,inf,0
672,0.571087,-2.05089,-0.638907,0.112504,0.00254847,-0.00196305,-0.0329811,0.00393185,-0.00692464,1,0.100782,1
673,0.638324,-1.4233,0.911207,6.15254,0.0243887,0.00265976,0.0294207,0.00445085,0.0118223,1,0.101038,1
674,0.0953669,-2.23295,0.191269,0.0426852,0.00651045,-0.000368671,-0.0442018,-0.020311,-0.0326317,1,inf,0
675,-0.374072,-2.02791,0.729026,0.166673,0.00456145,0.00311211,-0.0265346,-0.0160779,-0.0423862,1,3.1433,0
676,-0.211988,-2.67448,0.128747,2.66828,-0.0152486,-0.00755559,0.017492,0.0133403,0.0480852,1,0.550087,0
677,-0.150072,-1.31829,0.394605,0.0834987,-0.00368092,0.00613283,0.0170358,0.0171108,0.0326465,1,0.447532,0
678,-1.27444,-1.66432,0.657316,0.457094,-0.0196313,0.000362908,-0.0493823,-0.0140467,0.0299645,1,2.85243,0
679,-0.474062,-2.64891,-0.897325,9.3437,0.0200372,-0.00646367,0.0415891,-0.000263604,0.00142733,1,0.101096,1
680,-0.130315,-1.84709,-0.107374,0.7497,-0.00909303,0.00141164,-0.0099497,0.0194412,-0.0374612,1,0.502436,0
681,-0.188178,-1.89389,0.795228,0.0976913,0.0204137,-0.000127732,-0.00502239,0.0152688,0.0449635,1,2.89662,0
682,0.909977,-1.7913,0.173592,0.0607184,0.0238359,0.000650298,0.0162626,0.00793104,-0.047953,1,1.5157,0
683,0.90239,-1.74407,-0.229789,0.369277,0.0152768,0.00145529,0.0169692,0.0201995,0.0221326,1,0.101028,1
684,-0.126199,-1.08322,0.128214,1.32721,0.0114418,0.00871454,-0.0400121,-0.00773341,0.0315699,1,0.100813,1
685,0.615239,-1.60472,0.0843029,0.0652064,0.00973036,-0.0039894,0.0110723,0.00699343,-0.00981409,1,0.208369,1
686,0.523006,-2.35557,0.507997,0.953099,-0.0131836,0.0048857,0.0163373,0.00153506,-0.0106353,1,0.101015,1
687,-0.833219,-1.18136,0.973831,0.148066,-0.018202,-0.00681847,-0.0367187,0.0169889,0.0268587,1,3.48738,0
