sample,beta1,beta2,beta3,xi,delta1,chi,zeta1,zeta2,zeta3,beta_constraint_pass,max_excess,probe_pass
48,-0.369279,-1.87634,0.818286,0.834172,0.0228479,0.000128937,0.0261062,-0.000900364,-0.0123382,1,1.00687,0
49,-0.744226,-2.4395,-0.190561,0.300721,-0.0243474,-0.00659569,0.0493531,-0.00986081,-0.0242323,1,3.28918,0
50,0.553743,-2.08797,0.935648,1.52024,0.0194203,0.00143532,-0.0402515,-0.0204357,-0.0413372,1,0.100985,1
51,0.923441,-1.41462,0.918049,0.645014,-0.0225564,0.00032058,0.0204018,-0.0194777,-0.0329716,0,inf,0
52,0.872556,-2.61883,0.302018,0.264909,-0.0217311,0.00241743,-0.00520939,0.00482468,0.00725314,1,0.10099,1
53,0.52793,-1.05772,-0.37672,0.0212,-0.02105,0.00527738,0.000244366,0.00955939,-0.00847621,1,2.88205,0
54,-0.341125,-1.01755,-0.585494,0.333427,-0.0207681,-0.00732228,-0.0276448,0.0144423,-0.0142976,1,0.100985,1
55,-0.846159,-1.03207,-0.575001,0.0410419,0.0151701,-0.00441412,-0.0153058,0.0130344,-0.0248474,0,inf,0
56,-0.360299,-2.1355,0.429825,0.4551,0.00427669,-0.0025144,-0.00443694,-0.0064911,-0.0249087,1,1.78325,0
57,-0.998651,-2.32121,-0.685913,8.97305,0.024587,-0.00584938,-0.0143463,0.0167032,0.0224203,1,0.111671,1
58,0.405369,-1.33715,-0.873215,1.84481,0.00332032,0.00682842,0.0183578,-0.00908587,-0.0123556,1,0.101009,1
59,0.223913,-1.06018,-0.141138,3.22555,0.0166225,0.00399115,0.00207623,-0.00517659,-0.0114933,1,0.100995,1
60,0.774654,-0.87724,0.322246,9.85355,0.0138308,0.000724625,-0.0205973,0.0168372,-0.0321364,0,inf,0
61,-0.229386,-2.3743,0.368031,0.0308033,-0.0152126,0.00656281,-0.0327414,-0.00311749,-0.0128333,1,7.98227,0
62,0.604955,-1.42898,-0.878272,1.06048,0.00149285,0.00532564,0.0179484,0.000712946,-0.0457757,1,0.101001,1
63,-1.03161,-0.98033,-0.372065,6.0673,-0.0159687,0.00871855,0.0179793,0.0134291,-0.0245426,0,inf,0
64,-0.583855,-2.16076,0.27014,4.45096,-0.0131138,-0.00430113,-0.00879452,-0.000394902,-0.0363517,1,0.253608,1
65,-0.632782,-2.51634,0.864732,8.35622,0.00205221,-0.00717918,0.010473,-0.0155202,0.0121311,1,0.120671,1
66,-0.984414,-0.409267,0.0649961,0.0273904,0.0203866,0.00624238,-0.00972139,0.0106932,0.0336993,0,inf,0
67,-1.27771,-2.30372,-0.326543,0.090259,-0.0153599,0.0046047,0.0148645,-0.0120179,-0.00939993,1,7.80434,0
68,0.729984,-1.65019,0.129149,0.765019,0.0201269,0.00454106,0.0165463,-0.00539978,-0.0202862,1,0.100992,1
69,-1.1427,-0.94131,-0.848439,0.890165,-0.00202981,-0.0082985,-0.0362443,-0.000179355,0.00871145,0,inf,0
70,-0.544172,-0.80578,-0.840143,0.0161026,-0.00367958,0.00160774,-0.0365592,0.0178765,-0.00911171,1,3.92146,0
71,-1.12048,-2.6234,-0.203465,3.22108,-0.0210137,-0.00143968,-0.0296402,-0.00795554,0.0443054,1,0.899426,0
72,-0.710401,-2.25403,0.580938,0.194065,-0.00204224,-0.00601276,-0.0350527,-0.0101172,0.00646097,1,3.99247,0
73,-1.21943,-0.731537,-0.946591,0.0199636,0.0161325,-0.00104688,0.0117549,-0.00364591,-0.0183011,0,inf,0
74,0.660095,-1.46381,-0.109307,1.199,-0.00662636,0.00220741,-0.0164465,-0.00713914,0.0309082,1,0.101036,1
75,0.199596,-1.23547,0.400759,0.381317,-0.00517767,0.00417992,-0.0409341,-0.00939297,-0.0185825,1,0.10101,1
76,0.675353,-2.7515,-0.306026,0.303642,0.0139963,0.00819042,-0.0339821,0.000817546,-0.0109899,1,0.100992,1
77,-1.41252,-0.461502,0.31683,0.208453,-0.00804952,0.00121771,-0.00123159,0.0105869,-0.0208964,0,inf,0
78,-0.00505131,-2.79177,0.53911,8.14184,-0.000402151,0.00212231,0.0449362,0.0153719,-0.0259281,1,0.100752,1
79,-0.975678,-1.74124,-0.509005,0.0211016,-0.0187096,-0.00885865,0.0392291,0.00858525,0.00785464,1,13.2225,0
80,-0.0863,-0.943125,-0.830932,0.013249,-0.0196257,0.000817712,-0.0158862,-0.00981377,0.0365016,1,1.93836,0
81,0.746438,-1.93424,0.72968,0.0622552,-0.00955174,0.00746802,-0.0145159,-0.0179278,-0.0161476,1,0.712268,0
82,-1.44104,-0.792488,0.444202,0.194758,0.0109078,-0.00441485,0.045075,0.0189084,-0.0168205,0,inf,0
83,-0.179652,-2.34105,0.453546,0.301963,0.00316645,0.00016766,0.0321437,0.00780512,0.0279912,1,2.09575,0
84,-1.44257,-1.61358,-0.0833256,0.447332,-0.0105995,0.000831197,0.0491925,-0.0174997,-0.0404617,0,inf,0
85,-1.1899,-0.8099,-0.294484,0.0333031,0.0147793,-0.0019063,0.0400574,0.0187371,-0.0263329,0,inf,0
86,0.670757,-0.848549,0.408382,0.0257384,0.0239959,-0.00543615,0.00666437,-0.00638283,-0.043886,0,inf,0
87,-1.05752,-2.61076,-0.909934,0.17662,0.0108761,0.00393113,-0.0189546,-0.012378,0.00162435,1,5.41495,0
88,-1.40376,-2.69387,0.94926,0.0125169,0.0188469,0.000178214,0.00586372,-0.0163928,-0.0486131,1,inf,0
89,-0.613558,-0.731256,0.646554,0.178417,0.0177384,0.00658099,0.00366565,-0.0117702,0.0198663,0,inf,0
90,-0.119283,-2.7616,-0.856857,1.69871,0.0228132,-0.0049285,0.0303675,0.0116667,-0.0199751,1,0.731241,0
91,-1.07681,-0.455376,0.884448,5.66593,-0.0211873,0.00261662,-0.0496314,0.0112396,-0.00246447,0,inf,0
92,0.997031,-2.93267,-0.242669,0.234339,-0.00819633,-0.00111472,-0.0396862,-0.00254932,-0.00637037,1,0.100784,1
93,-0.395976,-0.877072,0.711137,0.0125209,-0.0144495,0.00192125,0.0186815,0.0161467,-0.0132575,1,1.74365,0
94,0.509739,-2.49354,0.234403,0.0401007,-0.015059,-0.00570664,0.0144869,0.00175033,-0.00171402,1,0.33851,0
95,0.305843,-0.432637,-0.290632,0.106624,0.0120985,-0.0032649,-0.0121276,0.00111765,0.0245252,0,inf,0
96,-0.626706,-0.313047,-0.493741,0.027435,-0.00941026,0.00121442,-0.0235352,-0.0174859,0.0277622,0,inf,0
97,0.0599134,-0.534984,0.395422,0.0123362,-0.0162243,0.00280792,0.0379253,-0.018647,0.0406901,0,inf,0
98,-0.187032,-0.904762,-0.0702792,0.0435115,0.00428337,-0.00278728,-0.0333515,-0.000223664,-0.0352422,1,0.635113,0
99,-1.3883,-1.94619,0.455317,8.41655,0.0227322,-0.00606554,0.0425882,-0.0190767,-0.014195,1,0.329625,0
100,0.491808,-0.409208,0.938387,6.36628,-0.0143612,-0.00396886,-0.0159935,-0.0166693,0.0498419,0,inf,0
101,-0.636626,-2.60851,0.727349,0.302461,-0.0154844,0.0089944,0.0424243,-0.0128553,0.0419513,1,3.34676,0
102,-0.877443,-0.324211,-0.0457929,8.90398,0.0231502,0.00583717,-0.00279547,-0.00522522,-0.0294497,0,inf,0
103,-1.36029,-0.42812,-0.726407,0.196562,-0.0208341,-0.00474137,0.0215305,-0.000729231,0.0478527,0,inf,0
104,0.898562,-2.3195,0.146093,0.980201,-0.0132217,0.00393634,-0.00226731,-0.00885893,0.0295587,1,0.10101,1
105,-0.504874,-1.33182,-0.996752,0.109317,0.0181657,0.00343332,0.0106555,-0.00744977,-0.0252091,1,2.93711,0
106,-1.40517,-0.41849,-0.286625,0.366449,-0.00361434,0.00306797,-0.0411398,-0.0159665,-0.00609046,0,inf,0
107,-0.0336131,-2.02569,0.340397,0.340064,-0.0222447,-0.00835284,-0.000814447,-0.0169024,-0.00531388,1,0.912638,0
108,-0.648405,-1.0116,-0.366822,1.80427,0.00611118,-0.00888208,0.0133199,-0.0205432,0.0323329,1,0.277979,1
109,0.375271,-1.37002,-0.817469,0.930382,0.0119133,0.00474129,0.0355274,0.00969263,-0.0418122,1,0.100998,1
110,-1.4749,-0.393895,-0.0924238,0.0840502,0.00705346,-0.0004702,0.00887083,-0.0121788,0.0187241,0,inf,0
111,0.557538,-2.01859,0.174882,2.57928,0.0156525,0.00753911,0.00429443,-0.00693379,-0.0334595,1,0.100988,1
112,0.426701,-1.65894,-0.674325,0.985536,0.0119244,0.00815391,-0.0402037,0.0116359,0.0114176,1,0.100856,1
113,-0.0405927,-2.2822,0.485117,0.467358,-0.00320267,-0.00715286,-0.0161995,0.0152672,-0.0289979,1,1.11433,0
114,0.847189,-2.11107,-0.320562,1.81985,0.00855168,0.0013424,0.031964,0.00407911,-0.0488555,1,0.100995,1
