B0,alpha1,alpha2,alpha3,delta1,kappa,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,wall_time_s,run_status,error_message,solver_exit_code,stability_profile,borderline_stability
0.0001,-0.421957101279681,-0.593937487672145,0.204359237975282,-0.846739495149705,1.0,512,10.0,auto,auto,periodic,9.712414257888795e-06,10.0,9.712414257888795e-06,1.38,success,,0,unit-ic-all-k-0.15,True
0.00021544346900318845,-0.421957101279681,-0.593937487672145,0.204359237975282,-0.846739495149705,1.0,512,10.0,auto,auto,periodic,4.508005884041947e-05,10.0,4.508005884041947e-05,1.23,success,,0,unit-ic-all-k-0.15,True
0.00046415888336127773,-0.421957101279681,-0.593937487672145,0.204359237975282,-0.846739495149705,1.0,512,10.0,auto,auto,periodic,0.00020922209965713683,10.0,0.00020922209965713683,1.07,success,,0,unit-ic-all-k-0.15,True
0.001,-0.421957101279681,-0.593937487672145,0.204359237975282,-0.846739495149705,1.0,512,10.0,auto,auto,periodic,0.0009706707485303139,10.0,0.0009706707485303139,1.11,success,,0,unit-ic-all-k-0.15,True
0.002154434690031882,-0.421957101279681,-0.593937487672145,0.204359237975282,-0.846739495149705,1.0,512,10.0,auto,auto,periodic,0.004495729528830962,10.0,0.004495729528830962,0.9,success,,0,unit-ic-all-k-0.15,True
0.004641588833612777,-0.421957101279681,-0.593937487672145,0.204359237975282,-0.846739495149705,1.0,512,10.0,auto,auto,periodic,0.020659562000555937,10.0,0.020659562000555937,0.76,success,,0,unit-ic-all-k-0.15,True
0.01,-0.421957101279681,-0.593937487672145,0.204359237975282,-0.846739495149705,1.0,512,10.0,auto,auto,periodic,0.09158633587697498,10.0,0.09158633587697498,0.71,success,,0,unit-ic-all-k-0.15,True
