alpha1,alpha2,alpha3,delta1,kappa,B0,grid_shape,t_end,dt,scheme,bc,error,run_status,error_message,solver_exit_code,P_max,P_max_time,P_final,wall_time_s
-0.0024337110404697437,-0.9333288901446384,2.958470986992106,0.7176216516732183,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,1.2002112974816458e-06,50.0,1.2002112974816458e-06,1.14
1.850879238404307,-1.4946921703857492,2.4112969956771435,0.7025240190490554,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,3.9510266965278847e-07,46.0,2.0038241874343754e-07,1.3
-0.5404862177842731,-0.4873086834203888,2.575990909429212,0.6273548597801082,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,62601285.17512588,50.0,62601285.17512588,1.18
0.9669727868915619,-1.6123258053086833,3.342828650252963,0.6994383907818804,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,6.258717546170019e-08,49.0,5.563370419525997e-08,1.18
0.3822952845027996,-2.695478340904751,2.4639802844462038,-0.7341527932535872,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=16.5: amplitude ratio 2.25e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=16.5: amplitude ratio 2.25e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
-0.6998207798240841,-0.6595525512005826,1.4741210086552363,-0.4709870833943792,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=13: amplitude ratio 1.48e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=13: amplitude ratio 1.48e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
1.6880655364823842,-0.17811805376557954,1.298347191869778,-0.7808377983005936,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,4.0376050088066246e-07,46.0,2.2502237944121278e-07,1.24
1.5684029922333158,-1.7412401719763075,1.4692314594114675,0.030908498551810437,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,0.0006167254038106477,50.0,0.0006167254038106477,0.95
1.3113700950441096,-0.8123073219086985,4.260426271450552,-0.023138069321845478,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,0.0006211482331338636,50.0,0.0006211482331338636,1.15
-1.1986400583636492,-0.40797433378982983,1.1491841487014598,0.9331972058305291,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=8.5: amplitude ratio 1.06e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=8.5: amplitude ratio 1.06e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
-0.4912957802181115,-0.07565706010912487,4.86905351112,-0.9793822350444119,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,13235.814022318566,50.0,13235.814022318566,1.19
-0.94079348569949,-1.2504352457744212,2.6776221676787286,0.06599012693228756,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,0.0005417837609066571,50.0,0.0005417837609066571,1.1
-0.6367032848202021,-1.3891492642356722,2.5948690657396405,0.25319422942882497,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=5: amplitude ratio 1.74e+09 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=5: amplitude ratio 1.74e+09 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
-0.194679206230697,-1.7718637748682124,1.584768998787108,0.8457223750280742,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=21.5: amplitude ratio 1.60e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=21.5: amplitude ratio 1.60e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
-0.4713333334861003,-1.8473547302486124,0.6601488833673254,0.8751565346551864,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=14.5: amplitude ratio 1.97e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=14.5: amplitude ratio 1.97e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
0.21049117690961294,-2.8235026819561764,2.223315303360653,-0.8637860943494402,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=14.5: amplitude ratio 1.05e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=14.5: amplitude ratio 1.05e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
-1.1876772988085074,-0.6537148410886711,3.9493181600629135,-0.06263456109096244,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,0.0005475828751303769,50.0,0.0005475828751303769,1.12
0.893681564800048,-0.6886103527578964,4.735492645317191,0.5954769760445842,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,3.9667124116975363e-07,46.0,2.0438103854179127e-07,1.1
0.7394264806930275,-0.7267128455954399,1.2134508552571073,0.8919007114566628,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,1.8415820297747807e-08,46.0,6.702719038642548e-09,1.28
1.2441479239061506,-2.3277857657071968,0.31001965024704065,0.010434202582895402,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,0.0006236029985696161,50.0,0.0006236029985696161,0.9
0.24455707239864521,-2.5125040892765673,0.7459432870257854,-0.13012167863330792,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=1: amplitude ratio 8.65e+15 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=1: amplitude ratio 8.65e+15 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
0.5219435056152739,-2.122586387374444,1.6676551691561854,-0.18612700317009911,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,3.015058288699693e-06,30.5,2.92480312691406e-06,1.25
1.2719407696243663,-1.0844539420235617,2.689845190328055,-0.3370772536003338,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,6.775506999463994e-06,13.0,6.994600911572551e-07,1.42
0.3938954592342183,-1.319353270016763,0.33900110586596655,-0.7668431092495824,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,1.2220275912782324e-10,43.0,1.1981408767561828e-10,1.05
0.9524957780397014,-2.524337139306033,0.5066509241114169,-0.010253187232379224,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,0.000622700435535717,50.0,0.000622700435535717,1.06
0.8236148520165942,-1.0708877790959934,4.153461850549615,0.8026424935173271,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,3.369334972976723e-08,47.5,1.963996774598469e-08,0.99
1.1785339727066333,-2.0525062650874286,3.350297216794903,-0.9440204336981182,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,1.7147449971717532e-09,43.0,1.2919947219365462e-09,1.05
0.4008748083380209,-0.10890292155585346,0.7957341474877857,0.5617857679153151,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,3.6032301807555283e-07,46.0,1.3748971462104894e-07,1.22
0.20276705248629812,-0.2996251975138864,3.7796848801729754,0.38914789830063556,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,1.08335221698819e-06,40.0,3.0517128353465336e-07,1.21
0.2795633138226621,-0.2514899347758104,1.2759458314777397,-0.7545750488808427,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,3.382691423285304e-08,47.5,1.975897160555173e-08,1.06
0.3323571534607952,-2.0930047687130404,2.775494080481988,0.8655705900604871,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,199253245.77807418,50.0,199253245.77807418,0.87
-0.20395978628643818,-0.6805368646692527,4.321960237666288,0.8620354937514971,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,90.80948850687295,50.0,90.80948850687295,0.9
0.551203873865854,-0.43419385655640363,3.5226200580089477,0.5434575001202833,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,4.088646969780594e-07,46.0,2.4390672129272583e-07,0.95
0.22894771887261633,-1.9106102966199112,3.7343579381312657,-0.9732342209509164,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,16797948609.431625,50.0,16797948609.431625,0.86
-1.5914992909464702,-1.186748307338164,1.9774444878609398,-0.770034192897399,1.0,0.001,256,50.0,auto,auto,periodic,Simulation diverged at t=5.5: amplitude ratio 9.18e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,diverged,Simulation diverged at t=5.5: amplitude ratio 9.18e+08 exceeds threshold 1e+08. The system is physically unstable (linearized regime violated).,-1,,,,
0.626304600577726,-0.30757783505025316,0.8888951377853195,0.7230930638825916,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,1.1632913227825552e-07,40.0,1.0368762886603438e-07,0.88
-0.4027879792051945,-0.5417441552382547,3.0845006331467593,0.1831211844863072,1.0,0.001,256,50.0,auto,auto,periodic,,success,,0,1.0227947207222818e-06,40.0,3.7083561889745734e-07,1.2
