t_end,P_max,sin2,A,baseline_B0,kappa
5,1e-06,6.249999869791668e-08,16.000000333333336,0.0001,1.0
10,5e-06,2.4999997916666736e-07,20.00000166666675,0.0001,1.0
15,1.6e-05,5.62499894531258e-07,28.444449777778374,0.0001,1.0
20,4.8e-05,9.99999666666711e-07,48.0000160000032,0.0001,1.0
25,0.000134,1.562499186198086e-06,85.76004466668064,0.0001,1.0
