gamma_star,rejection_rate,n_rejected,n_total,logZ_shift,A_max_surviving,growth_at_gamma_star_over_t_end,contam_caught,contam_total,pert_falserej,pert_total
0.3,0.0,0,1318,0.0,200.15221459187518,20.085536923187668,56,57,0,93
0.25,0.34142640364188165,450,1318,-0.41767900040210226,103.32381333239991,12.182493960703473,57,57,0,93
0.2,0.6342943854324734,836,1318,-1.0059266010118522,41.96684065494647,7.38905609893065,57,57,0,93
0.15,0.7655538694992413,1009,1318,-1.4505294381647071,19.094890302999353,4.4816890703380645,57,57,0,93
0.1,1.0,1318,1318,-inf,0.0,2.718281828459045,57,57,93,93
