delta1,chi_0,chi_0.005,chi_0.01,chi_0.015,chi_0.018,chi_0.02,chi_0.025
0.005,0.10102459257116622,0.10101375307062335,0.10097125917240217,0.10091378367211634,0.10088409257756101,inf,inf
0.025,0.10098621313250636,0.10098661801983522,0.10098807968433479,0.10099027727984677,0.10099255624203662,0.10099287387275113,inf
-0.025,0.10098621313250636,0.10098661801983522,0.10098807968433479,0.10099027727984677,0.10099255624203662,0.10099287387275113,inf
