delta1,chi_0,chi_0.005,chi_0.01,chi_0.02,chi_0.05
0.0,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537
0.001,0.10076711632183606,0.10076707729689276,0.10076693240547012,0.10076651288404595,inf
0.005,0.1008261972582601,0.10082496636098581,0.1008202918164818,0.10080669494627788,inf
0.012,0.10103914686307106,0.10103966201540815,0.10103983448538363,0.10102259581403272,inf
0.02,0.101003214821115,0.10100404926307878,0.10100733373132345,0.10101011211640151,inf
