anchor,beta1,beta2,beta3,xi,chi_0,chi_0.05,chi_0.1,chi_0.12,chi_0.15,chi_0.2,chi_0.3,chi_0.5
P1_working,0.0,-0.6,0.5,1.0,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537
P2_small_xi,0.206,-2.623,-0.6,0.011,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537
P3_large_xi,-1.18,-1.784,-0.258,6.03,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537
P4_boundary,-0.1,-0.45,0.0,1.0,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537
P5_interior,0.0,-1.5,0.0,1.0,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537,0.10076510065281537
